species_name,latitude,longitude,location_description,depth_range,,,,
Chloroscombrus orqueta,33°45'N,118°17'W,"San Pedro, southern California to Chilca, Peru",surface-53 m,,,,
Decapterus macarellus,NA,NA,"Tip of Baja California, mouth of Gulf of California, Costa Rica to Chile",surface-400 m,,,,
Decapterus macrosoma,27°50'N,114°55'W,"Punta Eugenia, Baja California to Chile",surface-214 m,,,,
Decapterus muroadsi,36°36'N,121°54'W,"Pacific Grove, central California to Peru, Easter Island, Islas Galápagos",surface-320 m,,,,
Elagatis bipinnulata,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California to Isla Gorgona, Colombia",surface-181 m,,,,
Gnathanodon speciosus,NA,NA,"lantic Ocean via Panama Canal; Indo-Pacific; western Pacific Ocean north to Japan and southern Kuril Islands; Bahía Magdalena, southern Baja California to central Gulf of California to Colombia",surface to 176 m,,,,
Hemicaranx leucurus,25°18'N,112°11'W,"Near Boca de Soledad, southern Baja California",0-30m,,,,
Hemicaranx zelotes,25°11'N,112°06'W,"Bahía Magdalena, southern Baja California",1-30m,,,,
Naucrates ductor,NA,NA,"Circumglobal; western Pacific Ocean north to Japan and southern Kuril Islands; Vancouver Island, British Columbia to Chile, including Gulf of California and Islas Galápagos",surface-430m,,,,
Oligoplites altus,NA,NA,"Laguna San Ignacio, southern Baja California to Callao, Peru, including Gulf of California",0-30m,,,,
Oligoplites saurus,23°24.6'N,110°13.8'W,"Bahía San Juanico, southern Baja California to Puerto Pizarro, Peru, including Gulf of California, Islas Galápagos and Isla Malpelo",surface-50m,,,,
Selar crumenophthalmus,NA,NA,"Circumglobal; western Pacific Ocean north to southern Japan and Sea of Japan; Palos Verdes, southern California to Cabo Blanco, Peru, including Gulf of California and Islas Galápagos",surface-230m,,,,
Selene brevoortii,NA,NA,"Seal Beach, southern California to northern Chile, including Gulf of California",2-165m,,,,
Selene orstedii,NA,NA,"About Bahía Magdalena, southern Baja California to Caleta La Cruz, Peru, including southern Gulf of California",surface-50m,,,,
Selene peruviana,33°46'N,118°07'W,"Long Beach, southern California to Chile, including Gulf of California and Islas Galápagos",surface-450m,,,,
Seriola aureovittata,NA,NA,Northwest Pacific Ocean,NA,,,,
Seriola dorsalis,54°35'N,131°00'W,"Northern British Columbia to central Mexico, including Gulf of California, Islas Galápagos, and Isla Malpelo",surface-91m,,,,
Seriola peruana,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California to Chile, including Islas Galápagos and Malpelo",surface-90m,,,,
Seriola rivoliana,NA,NA,"Circumglobal; western Pacific Ocean north to Korea and southern Japan; Stony Point, Santa Catalina Island and Oceanside, southern California to Cabo Blanco, Peru, including Gulf of California and Islas Galápagos",surface-367m,,,,
Trachinotus kennedyi,27°41'N,114°53'W,"Bahía San Bartolome, southern Baja California to Pucusana, Peru, including Gulf of California",surface-72m,,,,
Trachinotus paitensis,33°50'N,118°24'W,"Redondo Beach, southern California to Chile, including Gulf of California and Islas Galápagos",surface-100m,,,,
Trachinotus rhodopus,NA,NA,"Near Diablo Cove, central California to Callao, Peru, including southern and central Gulf of California and Islas Galápagos",surface-30m,,,,
Trachurus symmetricus,NA,NA,"Pacific Ocean south of Aleutian Islands and Gulf of Alaska to Gulf of California to Acapulco, Mexico",surface-403m,,,,
Uraspis helvola,32°52'N,117°17'W,"Santa Catalina Island, southern California; southernmost Gulf of California to Ecuador, including Islas Galápagos",surface-300m,,,,
Coryphaena equiselis,32°39.3'N,117°58.3'W,"43 Fathom Bank, southern California to at least Ecuador, including south-western Gulf of California",surface-50m,,,,
Coryphaena hippurus,NA,NA,"Circumglobal; western Pacific Ocean north to Japan and as far north as southern Kuril Islands; Grays Harbor, Washington to Chile, including Islas Galápagos, and Gulf of California",surface-262m,,,,
Echeneis naucrates,NA,NA,"Circumglobal; western Pacific Ocean north to Sea of Japan, off northern Hokkaido, possibly as far north as southern Kuril Islands; southern California to Chile, including Gulf of California and Islas Galápagos",surface-135m,,,,
Phtheirichthys lineatus,NA,NA,"Circumglobal; southern California to northern Peru, including Gulf of California and Islas Galápagos",surface-100m,,,,
Remora albescens,37°47'N,122°28'W,"San Francisco, northern California to Chile, including central and southern Gulf of California and Islas Galápagos",0-50m,,,,
Remora australis,NA,NA,"British Columbia to Chile, including Islas Galápagos",surface-200m,,,,
Remora brachyptera,32°52'N,117°17'W,"San Diego County, southern California to Chile, including Gulf of California and Islas Galápagos",surface-200m,,,,
Remora osteochir,33°21'N,118°28'W,"Santa Catalina Island, southern California to northern Chile, including central and southern Gulf of California",surface-200m,,,,
Remora remora,NA,NA,"Circumglobal; western Pacific Ocean north to southern Kuril Islands; Washington to Chile, including central and southern Gulf of California and Islas Galápagos",surface-300m,,,,
Remorina albescens,37°47'N,122°28'W,"San Francisco, northern California to Chile, including central and southern Gulf of California and Islas Galápagos",NA,,,,
Brama dussumieri,33°05'N,117°39'W,Circumglobal; western Pacific Ocean north to Japan; specimen captured off southern California ,surface-439m,,,,
Brama japonica,NA,NA,"Southern Sea of Japan, and off southern coast of Korean Peninsula to Pacific Ocean south of Aleutian Islands, and southern Bering Sea to Chile",surface-620m,,,,
Brama orcini,NA,NA,"Indo-Pacific; western Pacific Ocean north to Ogasawara Islands; Imperial Beach, southern California",surface-100m,,,,
Pteraclis aesticola,37°50'N,125°00'W,Cosmopolitan; western Pacific Ocean north to Japan; northern California to Chile,0-100m,,,,
Pterycombus petersii,44°56'N,124°56'W,Indo-Pacific; western Pacific Ocean north to Japan and Korea; eastern Pacific Ocean: Oregon,0-384m,,,,
Taractes asper,31°20'N,121°10'W,Circumglobal; western Pacific Ocean north to Japan to Gulf of Alaska off Kodiak Island to southern California to Chile,surface-1000m,,,,
Taractichthys steindachneri,27°15'N,118°16'W,Circumglobal; western Pacific Ocean north to Japan to Gulf of Alaska off Kodiak Island to southern California to Chile,9-700m,,,,
Caristius macropus,NA,NA,"Japan to southern Bering Sea, Aleutian Islands and Gulf of Alaska to central Baja California near Isla de Cedros",100-1660m,,,,
Paracaristius nudarcus,NA,NA,Central California to central Baja California,1-1800m,,,,
Platyberyx andriashevi,33°42'N,118°16'W,"San Pedro Basin, southern California",epipelagic-5000m,,,,
Hoplopagrus guentherii,NA,NA,"Bahía Abreojos, southern Baja California to northern Peru, including Gulf of California, Islas Galápagos, and Isla del Cocos",intertidal-100m,,,,
Lutjanus aratus,NA,NA,"Punta Eugenia, southern Baja California to northern Peru, including Gulf of California and Islas Galápagos",intertidal-80m,,,,
Lutjanus argentiventris,32°41'N,117°14'W,"Oceanside, southern California to Islas Lobos de Afuera, Peru, including Gulf of California and Islas Galápagos",surface-94m,,,,
Lutjanus colorado,35°34'N,120°51'W,"Estero (Morro) Bay, central California to northern Peru, including Gulf of California",surface-90m,,,,
Lutjanus guttatus,NA,NA,"Northern Baja California to Huacho, Peru, including Gulf of California",surface-120m,,,,
Lutjanus inermis,27°06'N,114°11'W,"Bahía Santa Maria, southern Baja California to northern Peru and offshore islands",intertidal-70m,,,,
Lutjanus jordani,27°06'N,114°11'W,"Southern Baja California to Paita, Peru, including lower Gulf of California and Islas Galápagos",2-200m,,,,
Lutjanus novemfasciatus,35°22'N,120°52'W,"Morro Bay, central California to Puerto Pizarro, Peru, including throughout Gulf of California, and around Islas Galápagos",surface-60m,,,,
Lutjanus peru,32°51'N,117°16'W,"La Jolla, southern California and Bahía Santa Maria, southern Baja California to Huermey, Peru, including Islas Galápagos, and throughout Gulf of California",surface-91m,,,,
Lutjanus viridis,27°42'N,115°04'W,"Rocas Alijos, southern Baja California and Bahía Tortugas, southern Baja California to Peru, including Islas Galápagos and Gulf of California",surface-240m,,,,
Lobotes pacificus,33°42'N,118°16'W,"San Pedro Breakwater, southern California and San Diego Bay, southern California to Chimbote, Peru, including Gulf of California",surface-50m,,,,
Deckertichthys aureolus,30°23.8'N,115°56'W,"Just south of Bahía San Quintin, northern Baja California to Peru, including Gulf of California",0-43m,,,,
Diapterus brevirostris,25°11.4'N,112°05.7'W,"Arroyo Soledad, southern Baja California to Caleta La Cruz, Peru, including lower and central Gulf of California and Islas Galápagos",surface-104m,,,,
Diapterus peruvianus,25°23'N,112°05'W,"Boca de Soledad, southern Baja California to Peru, including Gulf of California",intertidal-18m,,,,
Eucinostomus currani,33°44'N,118°07'W,"Anaheim Bay, southern California to Huacho, Peru, including Gulf of California, Islas Galápagos, and Isla del Cocos",intertidal-100m,,,,
Eucinostomus dowii,33°12'N,117°23'W,"Camp Pendleton Harbor, southern California to Gulf of California to northern Chile",intertidal-114m,,,,
Eucinostomus entomelas,27°54'N,114°18'W,"4.8 km east of the entrance to Laguna Ojo de Liebre, central Baja California to northern Peru, including southern and central Gulf of California",intertidal-100m,,,,
Eucinostomus gracilis,26°39.7'N,113°18.7'W,"Bahía de Ballenas, southern Baja California to northern Peru, including southern Gulf of California and Islas Galápagos",surface-112m,,,,
Eugerres axillaris,25°23'N,112°06'W,"Boca Soledad, southern Baja California to Honduras",0-30m,,,,
Eugerres lineatus,25°11'N,112°05'W,"Near Boca de Soledad, southern Baja California and southern and central Gulf of California to Ecuador, including Islas Galápagos",surface-30m,,,,
Gerres simillimus,25°11'N,112°05'W,"Boca Soledad, southern Baja California to Callao, Peru, including Islas Galápagos, and lower two-thirds of Gulf of California",0.3-107m,,,,
Anisotremus caesius,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California to Peru",3-25m,,,,
Anisotremus davidsonii,23°24.6'N,110°13.8'W,"Santa Cruz, central California to Todos Santos, southern Baja California; Gulf of California and Chiapas, Mexico",intertidal-61m,,,,
Anisotremus interruptus,NA,NA,"Isla de Cedros, mainland at Lagunas Ojo de Liebre-Guerrero Negro, central Baja California, and throughout Gulf of California to Mancora, Peru, including Islas Galápagos",intertidal-90m,,,,
Anisotremus taeniatus,24°45'N,112°15'W,"Bahía Santa Maria, southern Baja California to Punta Sal, Peru, including central and southern Gulf of California",5-25m,,,,
Brachygenys californiensis,37°47'N,122°28'W,"San Francisco Bay, central California to northern Peru, including Gulf of California",surface-40m,,,,
Conodon serrifer,33°22'N,117°34'W,"San Onofre, southern California to Paita, Peru, including Gulf of California",surface-72m,,,,
Haemulon flaviguttatum,33°36'N,117°53'W,"Newport Bay, southern California; Bahía Santa Maria, southern Baja California, throughout Gulf of California to Peru",surface-107m,,,,
Haemulon maculicauda,28°00'N,114°30'W,"Isla de Cedros, central Baja California and Bahía Magdalena, southern Baja California to Ecuador, and probably to northern Peru, including Gulf of California",intertidal-37m,,,,
Haemulon scudderi,25°12'N,112°08'W,"Lagoon north of Bahía Magdalena, southern Baja California into Gulf of California to Ecuador, including Islas Galápagos",0.6-30m,,,,
Haemulon sexfasciatum,24°45'N,112°15'W,"Bahía Magdalena, southern Baja California and Gulf of California to Ecuador, including southern tip of Baja California and Islas Galápagos",1-30m,,,,
Haemulopsis axillaris,25°18'N,112°11'W,"North of Boca de Soledad, southern Baja California to Ecuador, including Gulf of California",surface-113m,,,,
Haemulopsis elongatus,25°12.2'N,112°07.7'W,"Boca Soledad, southern Baja California to Ecuador, including Gulf of California",0-66m,,,,
Haemulopsis leuciscus,30°07'N,115°28'W,"Bahía de San Quintin, northern Baja California to Peru, including Gulf of California",0-134m,,,,
Haemulopsis nitida,26°13'N,112°28'W,"Bahía San Juanico, southern Baja California to Peru, including Gulf of California",0-50m,,,,
Microlepidotus inornatus,33°36'N,117°53'W,"Newport Bay, southern California into Gulf of California, and at least as far south as Manzanillo, Mexico",1-30m,,,,
Orthopristis chalceus,26°50'N,113°10'W,"Laguna San Ignacio, southern Baja California to Islas Lobos de Afuera, Peru, including Gulf of California and Islas Galápagos",0-100m,,,,
Orthopristis reddingi,28°00'N,114°30'W,"Isla de Cedros, and Lagunas Ojo de Liebre-Guerrero Negro, central Baja California; Gulf of California to southern Mexico",surface-103m,,,,
Rhencus macracanthus,25°23'N,112°06'W,"Boca Soledad, southern Baja California to Ecuador, including Gulf of California",0-59m,,,,
Rhencus panamensis,26°50'N,113°10'W,"Laguna San Ignacio, southern Baja California and Gulf of California to Puerto Pizarro, Peru",3-107m,,,,
Rhonciscus bayanus,24°45'N,112°15'W,"Bahía Magdalena, southern Baja California to Rio Tumbes, Peru, and at mouth of Gulf of California",0-10m,,,,
Rhonciscus branickii,25°19'N,112°06'W,"North of Boca Soledad, southern Baja California to Paita, Peru, including Gulf of California",0-165m,,,,
Xenichthys xanti,NA,NA,"Bahía Santa Maria, southern Baja California to Chimbote, Peru, including southern Gulf of California and Islas Galápagos",0–107 m,,,,
Calamus brachysomus,NA,NA,"Oceanside, southern California to northern Chile, including Islas Galápagos, Gulf of California, and Isla Malpelo","surface, 1–80 m",,,,
Polydactylus approximans,NA,NA,"Monterey Bay, central California to Chile, including Gulf of California, and Islas Galápagos",0–107 m,,,,
Polydactylus opercularis,NA,NA,"Los Angeles Harbor, southern California to Chile, including Gulf of California; marine and brackish waters",0–107 m,,,,
Atractoscion nobilis,23°24.6’N,110°13.8’W,"Juneau, south-eastern Alaska to Todos Santos, southern Baja California, and Gulf of California",intertidal to 245 m,,,,
Bairdiella icistia,NA,NA,"Laguna San Ignacio, southern Baja California to Guatamala, including Gulf of California",to at least 22 m,,,,
Cheilotrema saturnum,23°23'N,110°12'W,"Point Conception, California to southern Baja California, and Gulf of California",surface-271m,,,,
Corvula macrops,24°40'N,112°11'W,"Bahía Santa Maria, southern Baja California to Peru, including Gulf of California and Islas Galápagos",2-18m,,,,
Cynoscion orthonopterus,NA,NA,"Chileno Bay, tip of Baja California, Gulf of California",1-86m,,,,
Cynoscion parvipinnis,NA,NA,"Huntington Beach, southern California to Mazatlán, Mexico, including Gulf of California",1-101m,,,,
Cynoscion phoxocephalus,NA,NA,"Laguna San Ignacio, southern Baja California to Peru, southeast Gulf of California",1-30m,,,,
Cynoscion reticulatus,24°35'N,111°50'W,"Bahía Magdalena, southern Baja California to northern Peru, including Gulf of California",surface-107m,,,,
Cynoscion squamipinnis,24°35'N,111°50'W,"Bahía Magdalena, southern Baja California to Puerto Pizarro, Peru, including Gulf of California",1-30m,,,,
Cynoscion xanthulus,NA,NA,"Central Baja California to Chiapas, Mexico, including Gulf of California",1-50m,,,,
Elattarchus archidium,25°18'N,112°11'W,"North of Boca Soledad, southern Baja California to Isla Lobos de Tierra, Peru, including Gulf of California",2-50m,,,,
Genyonemus lineatus,NA,NA,"Barkley Sound, British Columbia to Bahía Magdalena, southern Baja California",intertidal-238m,,,,
Isopisthus remifer,26°03'N,112°18'W,"Bahía San Juanico, southern Baja California to Peru, including Gulf of California",4-124m,,,,
Larimus acclivis,NA,NA,"Isla de Cedros, central Baja California to Talero, Peru, including Gulf of California",1-251m,,,,
Larimus argenteus,NA,NA,"Southern Baja California to Tumbes, Peru, including lower Gulf of California",1-50m,,,,
Larimus effulgens,NA,NA,"Southern Baja California to Puerto Pizarro, Peru, including lower Gulf of California",surface-30m,,,,
Larimus pacificus,24°54.4'N,112°20'W,"Southern Baja California to Coquimbo, central Chile, including Gulf of California and Islas Galápagos",1-273m,,,,
Menticirrhus elongatus,26°44'N,113°27'W,"Bahía de Ballenas, southern Baja California to Paita, Peru, including southern Gulf of California",intertidal-66m,,,,
